WordId,TestId,PartOfSpeech,Description,Example,Source
430,0,adjective,"agreeable, conducive to comfort.",Betty is a genial young woman: everyone she meets is put at ease by her elegance and grace.,Magoosh
431,0,adjective,marked by refinement in taste and manners.,A live string quartet would provide a more genteel air to the wedding than would a folk singer.,Magoosh
432,0,verb,collect information bit by bit.,"Herb has given us no formal statement about his background, but from various hints, I have gleaned that he grew up in difficult circumstances.",Magoosh
433,0,verb,urge on with unpleasant comments.,"Doug did not want to enter the race, but Jim, through a steady stream of taunts, goaded him into signing up for it.",Magoosh
434,0,verb,show submission or fear.,"Every time Susan comes to the office, Frank grovels as if she were about to fire.",Magoosh
435,0,verb,laugh boisterously.,"Whenever the jester fell to the ground in mock pain, the king guffawed, exposing his yellow, fang-like teeth.",Magoosh
436,0,verb,prevent the progress or free movement of.,"As the rain water began to collect in pools on the highway, it began to hamper the flow of traffic. This word has other definitions but this is the most important one for the GRE.",Magoosh
437,0,verb,made ineffective or powerless.,"The FBI has made so many restriction on the local police that they are absolutely hamstrung, unable to accomplish anything.",Magoosh
438,0,noun,the pinnacle or top of a time period or career.,"During the heyday of Prohibition, bootlegging had become such a lucrative business that many who had been opposed to the 18th Amendment began to fear it would be repealed.",Magoosh
439,0,noun,a confusing mixture or jumble.,Those in attendance represented a hodgepodge of the city's denizens: chimney sweepers could be seen sitting elbow to elbow with stockbrokers.,Magoosh
440,0,verb,to pursue relentlessly.,"An implacable foe of corruption, Eliot Ness hounded out graft in all forms--he even helped nab Al Capone. This word has other definitions but this is the most important one for the GRE.",Magoosh
441,0,adjective,dull and lacking excitement.,"Having grown up in a humdrum suburb, Jacob relished life in New York City after moving.",Magoosh
442,0,adjective,contrary to or forbidden by law.,"Though Al Capone was engaged in many illicit activities, he was finally arrested for income tax evasion, a relatively minor offense.",Magoosh
443,0,adjective,not relevant.,"The judge found the defendant's comments immaterial to the trial, and summarily dismissed him from the witness stand.",Magoosh
444,0,adjective,without fault or error.,He was impeccably dressed in the latest fashion without a single crease or stain.,Magoosh
445,0,verb,be a hindrance or obstacle to.,"Since the police sergeant had to train the pair of new hires, progress in his own case was impeded.",Magoosh
446,0,adjective,close in time; about to occur.,The impending doom of our world has been a discussed and debated for 2000 years--maybe even longer.,Magoosh
447,0,adjective,does not allow fluids to pass through.,"The sand bags placed on the river formed an impermeable barrier, protecting the town from flooding.",Magoosh
448,0,verb,convey a meaning; imply.,"By saying that some of the guests were uncomfortable, the manager implicated to the hotel staff that it needed to be more dilligent.",Magoosh
448,0,verb,"to indicate in wrongdoing, usually a crime.","The crime boss was implicated for a long list of crimes, ranging from murder to disturbing the peace.",Magoosh
449,0,adjective,impossible to estimate or figure out.,"According to many lawmakers, the huge variety of factors affecting society make devising an efficient healthcare system an imponderable task.",Magoosh
450,0,adjective,immune to attack; incapable of being tampered with.,"As a child, Amy would build pillow castles and pretend they were impregnable fotresses.",Magoosh
451,0,adjective,happening by chance or unexpectedly or unintentionally.,"Although Prohibition was rooted in noble ideals, the inadvertent and costly consequences of making alcohol illegal in the U.S. led its the repeal.",Magoosh
452,0,adjective,without or deprived of the use of speech or words.,"Although a brilliant economist, Professor Black was completely inarticulate, a terrible lecturer.",Magoosh
453,0,verb,make furious.,"When Herb bought football tickets for a game on the day of their wedding anniversary, Jill was incensed. This word has other definitions but this is the most important one for the GRE.",Magoosh
454,0,adjective,uninterrupted in time and indefinitely long continuing.,"I don't mind small children in brief doses, but I think the incessant exposure that their parents have to them would quickly wear me down.",Magoosh
455,0,adjective,"(of weather) unpleasant, stormy.","After a week of inclement weather, we finally are able to go outside and enjoy the sun.",Magoosh
455,0,adjective,used of persons or behavior; showing no mercy.,"Marcus Aurelius, though a fair man, was inclement to Christians during his reign, persecuting them violently.",Magoosh
456,0,adjective,necessary (for someone) as a duty or responsibility.,"Middle managers at times make important decisions, but real responsibility for the financial well-being of the corporation is ultimately incumbent on the CEO.",Magoosh
457,0,verb,to formally charge or accuse of wrong-doing.,"The bankrobber was indicted on several major charges, including possession of a firearm.",Magoosh
458,0,adjective,originating in a certain area.,The plants and animals indigenous to Australia are notably different from those indigenous to the U.S-- one look at a duckbill platypus and you know you're not dealing with an opossum.,Magoosh
